Method,Seed,Test accuracy,Best-val test accuracy,Best validation epoch,Convergence epoch,H1 q r95,H1 delta timestep r95,H1 delta aggregated r95,H1 GE,H1 entropy rank,H1 gate temporal cosine,H1 credit temporal coherence,H2 q r95,H2 delta timestep r95,H2 delta aggregated r95,H2 GE,H2 entropy rank,H2 gate temporal cosine,H2 credit temporal coherence,H3 q r95,H3 delta timestep r95,H3 delta aggregated r95,H3 GE,H3 entropy rank,H3 gate temporal cosine,H3 credit temporal coherence,H3 gradient norm,H3 weight-update cosine to BP,H3 actual-vs-intervened delta cosine,max production delta relative error
Actual,20260830,0.7743055555555556,0.8020833333333334,28,25,6,6,6,1.0,5.129400349454655,0.9962297528982162,0.7874774911573955,7,7,7,1.0,5.504150012318367,0.9954853653907776,0.7852550106389182,7,197,102,28.142857142857142,170.30775003027344,0.0924929790198803,0.0784265454858541,5.2161107305437326e-05,0.576266884803772,1.0000000489609582,8.74829666486221e-08
Actual,20260831,0.7395833333333334,0.7361111111111112,31,15,6,5,5,0.8333333333333334,4.3818925774398725,0.9967893191746304,0.7654124051332474,6,6,6,1.0,5.13281535313263,0.9943318665027618,0.7629278121250016,7,189,95,27.0,160.1888699377551,0.1147366583879504,0.0892397861129471,4.4472035369835794e-05,0.4762598574161529,1.000000027673585,8.371789306238497e-08
Actual,20260901,0.7847222222222222,0.7916666666666666,87,63,7,6,6,0.8571428571428571,5.529574064833717,0.9969858058861324,0.8159335106611252,7,8,8,1.1428571428571428,6.179200827974525,0.9928364413125176,0.8116825435842786,7,189,107,27.0,164.83919735662715,0.0783060592200074,0.064652086634721,4.43552817159798e-05,0.5871697664260864,1.000000046832221,8.547894481125695e-08
H3-MeanGate,20260830,0.75,0.7534722222222222,57,49,5,5,5,1.0,4.457786697047054,0.9951653948851994,0.7869401808295932,6,6,6,1.0,4.838669513305216,0.9945988335779736,0.7842606795685632,6,101,101,16.833333333333332,60.1670277936919,0.9999999978712628,0.7924107185431889,9.296224015997724e-05,0.3964866101741791,0.23033754234867437,9.423820301890373e-08
H3-MeanGate,20260831,0.7465277777777778,0.7395833333333334,77,68,5,5,5,1.0,3.869735424576161,0.9965997806617192,0.8054534324577877,5,6,6,1.2,4.943385593904447,0.993899894612176,0.8026266183171954,6,100,100,16.666666666666668,56.063002153476106,1.0,0.8102678550141198,5.826541382702999e-05,0.295979380607605,0.24650954934103148,1.0158117191849669e-07
H3-MeanGate,20260901,0.7534722222222222,0.7604166666666666,98,98,6,5,5,0.8333333333333334,4.363515452946075,0.9970591004405704,0.8386888653039932,5,6,6,1.2,4.684330079704489,0.9934936442545482,0.8351389978613172,6,101,101,16.833333333333332,62.50233867327749,0.9999999978712628,0.8437500085149493,9.068338113138452e-05,0.3679590225219726,0.21966246941259926,8.821577068829357e-08
H3-ShuffledGate,20260830,0.7604166666666666,0.7604166666666666,78,74,5,5,5,1.0,4.38975837078576,0.994802127991404,0.7998983157532555,6,6,6,1.0,4.916491818062944,0.9938336248908723,0.7974179961851665,6,184,104,30.666666666666668,153.53133196014244,0.0663896869601947,0.0536115925226892,3.761136758839712e-05,0.3049715757369995,0.05452209766787871,8.992527256168614e-08
H3-ShuffledGate,20260831,0.7708333333333334,0.7777777777777778,40,39,5,5,5,1.0,3.8468898772006495,0.9966999930994852,0.7943974201168332,5,6,6,1.2,4.850556719296362,0.993867835828236,0.7916819197790963,6,184,100,30.666666666666668,159.83024179583433,0.0839949545583554,0.0615391252296311,2.7401505576563068e-05,0.1470842659473419,0.06199635778154643,8.527197081775739e-08
H3-ShuffledGate,20260901,0.78125,0.7777777777777778,63,63,6,5,5,0.8333333333333334,4.337485937596089,0.9971016496419908,0.8365746225629535,6,7,6,1.1666666666666667,4.851323888410373,0.993050387927464,0.8327930378062385,6,181,106,30.166666666666668,150.98297269703744,0.066284948028624,0.0518856474331447,3.1243784178514034e-05,0.1927821040153503,0.059588354995607225,8.985360722135739e-08
