width,seed,layer,test_accuracy,best_val_test_accuracy,q_r95,delta_r95,delta_r95_over_width,ge,gate_temporal_cosine,credit_temporal_coherence,probe_split,residualization,test_accuracy_mean,test_accuracy_std,test_accuracy_n,q_r95_mean,q_r95_std,q_r95_n,delta_r95_mean,delta_r95_std,delta_r95_n,delta_r95_over_width_mean,delta_r95_over_width_std,delta_r95_over_width_n,ge_mean,ge_std,ge_n,gate_temporal_cosine_mean,gate_temporal_cosine_std,gate_temporal_cosine_n,credit_temporal_coherence_mean,credit_temporal_coherence_std,credit_temporal_coherence_n,source_file,status,source_row_or_key,provenance_file
800,20260830,hidden_2,0.9795,0.9796,8,528,0.66,66.0,0.0840893313288688,0.0526139354333281,basis_eval,raw,0.9796666666666667,0.0004725815626252519,3,8.0,0.0,3,530.3333333333334,5.859465277082315,3,0.6629166666666667,0.007324331596352905,3,66.29166666666667,0.7324331596352893,3,0.08434095357855154,0.0009283915585931136,3,0.05258583556860683,0.0004641548260370898,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=800;seed=20260830;layer=hidden_2,results/frozen_sources/robustness/width_robustness_canonical.csv#row=12
800,20260830,hidden_3,0.9795,0.9796,8,523,0.65375,65.375,0.088058978319168,0.0359886372461915,basis_eval,raw,0.9796666666666667,0.0004725815626252519,3,8.0,0.0,3,518.3333333333334,4.041451884327381,3,0.6479166666666667,0.005051814855409246,3,64.79166666666667,0.5051814855409226,3,0.08796874557932212,0.0022705498140377857,3,0.03609594671676553,0.000708761910929109,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=800;seed=20260830;layer=hidden_3,results/frozen_sources/robustness/width_robustness_canonical.csv#row=13
800,20260831,hidden_1,0.9802,0.9805,8,554,0.6925,69.25,0.0575210927054286,0.044976633042097,basis_eval,raw,0.9796666666666667,0.0004725815626252519,3,8.0,0.0,3,554.0,8.0,3,0.6925,0.010000000000000009,3,69.25,1.0,3,0.05788475026686984,0.0003225413400680182,3,0.045784988751014034,0.0008058396842274254,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=800;seed=20260831;layer=hidden_1,results/frozen_sources/robustness/width_robustness_canonical.csv#row=14
800,20260831,hidden_2,0.9802,0.9805,8,526,0.6575,65.75,0.0853692200034856,0.0521082691848278,basis_eval,raw,0.9796666666666667,0.0004725815626252519,3,8.0,0.0,3,530.3333333333334,5.859465277082315,3,0.6629166666666667,0.007324331596352905,3,66.29166666666667,0.7324331596352893,3,0.08434095357855154,0.0009283915585931136,3,0.05258583556860683,0.0004641548260370898,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=800;seed=20260831;layer=hidden_2,results/frozen_sources/robustness/width_robustness_canonical.csv#row=15
800,20260831,hidden_3,0.9802,0.9805,8,516,0.645,64.5,0.0901928339153528,0.0354469586163759,basis_eval,raw,0.9796666666666667,0.0004725815626252519,3,8.0,0.0,3,518.3333333333334,4.041451884327381,3,0.6479166666666667,0.005051814855409246,3,64.79166666666667,0.5051814855409226,3,0.08796874557932212,0.0022705498140377857,3,0.03609594671676553,0.000708761910929109,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=800;seed=20260831;layer=hidden_3,results/frozen_sources/robustness/width_robustness_canonical.csv#row=16
800,20260901,hidden_1,0.9793,0.9783,8,562,0.7025,70.25,0.05813620518893,0.0465882886201143,basis_eval,raw,0.9796666666666667,0.0004725815626252519,3,8.0,0.0,3,554.0,8.0,3,0.6925,0.010000000000000009,3,69.25,1.0,3,0.05788475026686984,0.0003225413400680182,3,0.045784988751014034,0.0008058396842274254,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=800;seed=20260901;layer=hidden_1,results/frozen_sources/robustness/width_robustness_canonical.csv#row=17
800,20260901,hidden_2,0.9793,0.9783,8,537,0.67125,67.125,0.0835643094033002,0.0530353020876646,basis_eval,raw,0.9796666666666667,0.0004725815626252519,3,8.0,0.0,3,530.3333333333334,5.859465277082315,3,0.6629166666666667,0.007324331596352905,3,66.29166666666667,0.7324331596352893,3,0.08434095357855154,0.0009283915585931136,3,0.05258583556860683,0.0004641548260370898,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=800;seed=20260901;layer=hidden_2,results/frozen_sources/robustness/width_robustness_canonical.csv#row=18
800,20260901,hidden_3,0.9793,0.9783,8,516,0.645,64.5,0.0856544245034456,0.0368522442877292,basis_eval,raw,0.9796666666666667,0.0004725815626252519,3,8.0,0.0,3,518.3333333333334,4.041451884327381,3,0.6479166666666667,0.005051814855409246,3,64.79166666666667,0.5051814855409226,3,0.08796874557932212,0.0022705498140377857,3,0.03609594671676553,0.000708761910929109,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=800;seed=20260901;layer=hidden_3,results/frozen_sources/robustness/width_robustness_canonical.csv#row=19
1200,20260830,hidden_1,0.9817,0.9822,8,795,0.6625,99.375,0.0629090499132871,0.0417910059913992,basis_eval,raw,0.9820000000000001,0.00036055512754642083,3,8.0,0.0,3,779.6666666666666,13.868429375143148,3,0.6497222222222222,0.011557024479285943,3,97.45833333333333,1.7335536718928934,3,0.06276491532723104,0.0001406579369248764,3,0.039990736482043994,0.001998945873063734,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=1200;seed=20260830;layer=hidden_1,results/frozen_sources/robustness/width_robustness_canonical.csv#row=20
1200,20260830,hidden_2,0.9817,0.9822,8,717,0.5975,89.625,0.0794569179415702,0.0427735429257154,basis_eval,raw,0.9820000000000001,0.00036055512754642083,3,8.0,0.0,3,701.0,14.177446878757825,3,0.5841666666666666,0.011814539065631563,3,87.625,1.7721808598447282,3,0.0795835244158903,0.0009174923550029782,3,0.04089843823264037,0.0024055646960476533,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=1200;seed=20260830;layer=hidden_2,results/frozen_sources/robustness/width_robustness_canonical.csv#row=21
1200,20260830,hidden_3,0.9817,0.9822,8,691,0.5758333333333333,86.375,0.0813374873250722,0.029359639622271,basis_eval,raw,0.9820000000000001,0.00036055512754642083,3,8.0,0.0,3,688.0,3.0,3,0.5733333333333334,0.0025000000000000022,3,86.0,0.375,3,0.08101612950364744,0.00031420581308528055,3,0.0277414655623336,0.0018104146493063058,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=1200;seed=20260830;layer=hidden_3,results/frozen_sources/robustness/width_robustness_canonical.csv#row=22
1200,20260831,hidden_1,0.9824,0.9828,8,768,0.64,96.0,0.0627576829865574,0.040341624058783,basis_eval,raw,0.9820000000000001,0.00036055512754642083,3,8.0,0.0,3,779.6666666666666,13.868429375143148,3,0.6497222222222222,0.011557024479285943,3,97.45833333333333,1.7335536718928934,3,0.06276491532723104,0.0001406579369248764,3,0.039990736482043994,0.001998945873063734,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=1200;seed=20260831;layer=hidden_1,results/frozen_sources/robustness/width_robustness_canonical.csv#row=23
1200,20260831,hidden_2,0.9824,0.9828,8,690,0.575,86.25,0.080557744950056,0.0417356332764029,basis_eval,raw,0.9820000000000001,0.00036055512754642083,3,8.0,0.0,3,701.0,14.177446878757825,3,0.5841666666666666,0.011814539065631563,3,87.625,1.7721808598447282,3,0.0795835244158903,0.0009174923550029782,3,0.04089843823264037,0.0024055646960476533,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=1200;seed=20260831;layer=hidden_2,results/frozen_sources/robustness/width_robustness_canonical.csv#row=24
1200,20260831,hidden_3,0.9824,0.9828,8,685,0.5708333333333333,85.625,0.0807096008211374,0.0280785616487264,basis_eval,raw,0.9820000000000001,0.00036055512754642083,3,8.0,0.0,3,688.0,3.0,3,0.5733333333333334,0.0025000000000000022,3,86.0,0.375,3,0.08101612950364744,0.00031420581308528055,3,0.0277414655623336,0.0018104146493063058,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=1200;seed=20260831;layer=hidden_3,results/frozen_sources/robustness/width_robustness_canonical.csv#row=25
1200,20260901,hidden_1,0.9819,0.9817,8,776,0.6466666666666666,97.0,0.0626280130818486,0.0378395793959498,basis_eval,raw,0.9820000000000001,0.00036055512754642083,3,8.0,0.0,3,779.6666666666666,13.868429375143148,3,0.6497222222222222,0.011557024479285943,3,97.45833333333333,1.7335536718928934,3,0.06276491532723104,0.0001406579369248764,3,0.039990736482043994,0.001998945873063734,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=1200;seed=20260901;layer=hidden_1,results/frozen_sources/robustness/width_robustness_canonical.csv#row=26
1200,20260901,hidden_2,0.9819,0.9817,8,696,0.58,87.0,0.0787359103560447,0.0381861384958028,basis_eval,raw,0.9820000000000001,0.00036055512754642083,3,8.0,0.0,3,701.0,14.177446878757825,3,0.5841666666666666,0.011814539065631563,3,87.625,1.7721808598447282,3,0.0795835244158903,0.0009174923550029782,3,0.04089843823264037,0.0024055646960476533,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=1200;seed=20260901;layer=hidden_2,results/frozen_sources/robustness/width_robustness_canonical.csv#row=27
1200,20260901,hidden_3,0.9819,0.9817,8,688,0.5733333333333334,86.0,0.0810013003647327,0.0257861954160034,basis_eval,raw,0.9820000000000001,0.00036055512754642083,3,8.0,0.0,3,688.0,3.0,3,0.5733333333333334,0.0025000000000000022,3,86.0,0.375,3,0.08101612950364744,0.00031420581308528055,3,0.0277414655623336,0.0018104146493063058,3,results/paper1_experiment04_20260902_server_report/width_robustness.csv,CANONICAL,width=1200;seed=20260901;layer=hidden_3,results/frozen_sources/robustness/width_robustness_canonical.csv#row=28
