dataset,method,seed,layer,width,checkpoint_rule_for_geometry,probe_split,temporal_mode,epoch100_test_accuracy,epoch100_test_loss,selected_test_accuracy,selected_test_loss,best_validation_epoch,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,checkpoint_sha256,source_file_geometry,source_file_accuracy_epoch100,source_file_accuracy_selected
N-MNIST,SNN-DFA,20260908,H3,800,completed_epoch_100,basis_eval,timestep,0.9792,0.021327164921164512,0.9799,0.021265442913770676,78,95,276,408,522,694,44.877746430415456,5.975161818880248,393.5317768104556,0.0560971830380193,0.4919147210130695,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=48,results/frozen_sources/nmnist/all_runs.csv#row=8,results/frozen_sources/nmnist/all_runs.csv#row=9
N-MNIST,SNN-DFA,20260909,H1,800,completed_epoch_100,basis_eval,timestep,0.9805,0.02093916489481926,0.9787,0.022500664907693865,42,126,325,451,550,683,52.49342029089328,6.1395231779636426,463.83235263569344,0.0656167753636166,0.5797904407946168,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=56,results/frozen_sources/nmnist/all_runs.csv#row=10,results/frozen_sources/nmnist/all_runs.csv#row=11
N-MNIST,SNN-DFA,20260909,H2,800,completed_epoch_100,basis_eval,timestep,0.9805,0.02093916489481926,0.9787,0.022500664907693865,42,104,300,432,536,674,33.98108993861835,5.992686556518867,400.4891025474471,0.0424763624232729,0.5006113781843089,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=58,results/frozen_sources/nmnist/all_runs.csv#row=10,results/frozen_sources/nmnist/all_runs.csv#row=11
N-MNIST,SNN-DFA,20260909,H3,800,completed_epoch_100,basis_eval,timestep,0.9805,0.02093916489481926,0.9787,0.022500664907693865,42,90,269,402,517,686,36.91713315621613,5.942550290120197,380.9051104307971,0.0461464164452701,0.4761313880384963,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=60,results/frozen_sources/nmnist/all_runs.csv#row=10,results/frozen_sources/nmnist/all_runs.csv#row=11
N-MNIST,matched SNN-BPTT,20260830,H1,800,completed_epoch_100,basis_eval,timestep,0.9876,0.0098054439276456,0.9876,0.009748055075109,95,3,6,10,16,33,4.575115207563208,2.43335430604155,11.397047219782966,0.005718894009454,0.0142463090247287,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=68,results/frozen_sources/nmnist/all_runs.csv#row=12,results/frozen_sources/nmnist/all_runs.csv#row=13
N-MNIST,matched SNN-BPTT,20260830,H2,800,completed_epoch_100,basis_eval,timestep,0.9876,0.0098054439276456,0.9876,0.009748055075109,95,3,8,12,16,31,2.882588801086,2.3931214337473192,10.9476129136874,0.0036032360013574,0.0136845161421092,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=70,results/frozen_sources/nmnist/all_runs.csv#row=12,results/frozen_sources/nmnist/all_runs.csv#row=13
N-MNIST,matched SNN-BPTT,20260830,H3,800,completed_epoch_100,basis_eval,timestep,0.9876,0.0098054439276456,0.9876,0.009748055075109,95,4,7,10,14,24,4.79150232163464,2.4562217882857404,11.660671721205034,0.0059893779020433,0.0145758396515062,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=72,results/frozen_sources/nmnist/all_runs.csv#row=12,results/frozen_sources/nmnist/all_runs.csv#row=13
N-MNIST,matched SNN-BPTT,20260831,H1,800,completed_epoch_100,basis_eval,timestep,0.9895,0.0096453882509842,0.9894,0.0097562772857025,90,1,3,5,11,31,1.6723815611879655,1.509973425302605,4.526610499411611,0.0020904769514849,0.0056582631242645,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=80,results/frozen_sources/nmnist/all_runs.csv#row=14,results/frozen_sources/nmnist/all_runs.csv#row=15
N-MNIST,matched SNN-BPTT,20260831,H2,800,completed_epoch_100,basis_eval,timestep,0.9895,0.0096453882509842,0.9894,0.0097562772857025,90,1,4,6,11,33,1.5630801797513287,1.56905658934752,4.802115689009256,0.0019538502246891,0.0060026446112615,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=82,results/frozen_sources/nmnist/all_runs.csv#row=14,results/frozen_sources/nmnist/all_runs.csv#row=15
N-MNIST,matched SNN-BPTT,20260831,H3,800,completed_epoch_100,basis_eval,timestep,0.9895,0.0096453882509842,0.9894,0.0097562772857025,90,1,3,5,7,22,1.5695249454261682,1.461287066558024,4.311505152882741,0.0019619061817827,0.0053893814411034,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=84,results/frozen_sources/nmnist/all_runs.csv#row=14,results/frozen_sources/nmnist/all_runs.csv#row=15
N-MNIST,matched SNN-BPTT,20260901,H1,800,completed_epoch_100,basis_eval,timestep,0.9897,0.0091246662827208,0.9893,0.0093222217239439,75,1,2,4,7,19,1.7585561803988434,1.4099436637843832,4.095724659944062,0.0021981952254985,0.00511965582493,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=92,results/frozen_sources/nmnist/all_runs.csv#row=16,results/frozen_sources/nmnist/all_runs.csv#row=17
N-MNIST,matched SNN-BPTT,20260901,H2,800,completed_epoch_100,basis_eval,timestep,0.9897,0.0091246662827208,0.9893,0.0093222217239439,75,2,3,5,7,16,2.4243378184196698,1.649563297869611,5.204706424432469,0.0030304222730245,0.0065058830305405,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=94,results/frozen_sources/nmnist/all_runs.csv#row=16,results/frozen_sources/nmnist/all_runs.csv#row=17
N-MNIST,matched SNN-BPTT,20260901,H3,800,completed_epoch_100,basis_eval,timestep,0.9897,0.0091246662827208,0.9893,0.0093222217239439,75,1,3,4,6,10,1.6474949995785335,1.3366589849066692,3.806305314465894,0.0020593687494731,0.0047578816430823,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=96,results/frozen_sources/nmnist/all_runs.csv#row=16,results/frozen_sources/nmnist/all_runs.csv#row=17
N-MNIST,matched SNN-BPTT,20260908,H1,800,completed_epoch_100,basis_eval,timestep,0.9897,0.009382443884387612,0.9891,0.009522332896105944,80,2,6,10,15,31,2.5380060016607078,2.1969392348857717,8.997432284302533,0.0031725075020758,0.0112467903553781,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=104,results/frozen_sources/nmnist/all_runs.csv#row=18,results/frozen_sources/nmnist/all_runs.csv#row=19
N-MNIST,matched SNN-BPTT,20260908,H2,800,completed_epoch_100,basis_eval,timestep,0.9897,0.009382443884387612,0.9891,0.009522332896105944,80,2,4,7,10,23,2.584733093843374,1.9812249936302404,7.251620735667044,0.0032309163673042,0.0090645259195838,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=106,results/frozen_sources/nmnist/all_runs.csv#row=18,results/frozen_sources/nmnist/all_runs.csv#row=19
