control_scope,dataset,source_model,seed,layer,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,mask_replicate,marginal_preservation_check,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,mean_abs_g,rms_g,exact_zero_fraction,near_zero_fraction,temporal_gate_cosine,adjacent_timestep_cosine,checkpoint_sha256,method,epoch100_test_accuracy,selected_test_accuracy,source_file
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,unscaled,nan,0.0,0.0,nan,nan,105,299,427,528,664,34.24198966823596,5.98992145561933,399.38323938594846,0.4992290492324355,0.017726797456581,0.0776460680027963,0.0,0.0,0.0840893238782882,0.1297228659402475,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=12
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,global_frobenius_norm_matched,nan,0.0,0.0,nan,nan,105,299,427,528,664,34.24198966823596,5.98992145561933,399.38323938594846,0.4992290492324355,0.017726797456581,0.0776460680027963,0.0,0.0,0.0840893238782882,0.1297228659402475,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=13
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,unscaled,nan,0.25,0.25,nan,nan,105,299,427,528,664,34.251744515517025,5.990036316206748,399.4291154140526,0.4992863942675657,0.0176827852991687,0.0776459838217307,0.25,0.25,0.0838412418961525,0.1296852290596324,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=14
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,global_frobenius_norm_matched,nan,0.25,0.25,nan,nan,105,299,427,528,664,34.251744515517025,5.990036316206748,399.4291154140526,0.4992863942675657,0.0176827852991687,0.0776459838217307,0.25,0.25,0.0838412418961525,0.1296852290596324,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=15
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,unscaled,nan,0.5,0.5,nan,nan,105,299,427,528,664,34.38119671949375,5.991272638994592,399.9232441199176,0.4999040551498969,0.0174936979174835,0.0776449837470449,0.5,0.5,0.0825379192829132,0.1290150833174744,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=16
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,global_frobenius_norm_matched,nan,0.5,0.5,nan,nan,105,299,427,528,664,34.38119671949375,5.991272638994592,399.9232441199176,0.4999040551498969,0.0174936979174835,0.0776449837470449,0.5,0.5,0.0825379192829132,0.1290150833174744,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=17
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,unscaled,nan,0.75,0.75,nan,nan,106,300,428,529,664,35.45424714634704,6.000809703056302,403.7555833033266,0.5046944791291582,0.0168943626396421,0.0776343091190619,0.75,0.75,0.0776851400732994,0.1236898497749777,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=18
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,global_frobenius_norm_matched,nan,0.75,0.75,nan,nan,106,300,428,529,664,35.45424714634704,6.000809703056302,403.7555833033266,0.5046944791291582,0.0168944411831518,0.077634670053074,0.75,0.75,0.0776851400732994,0.1236898497749777,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=19
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,unscaled,nan,0.83249462890625,0.83249462890625,nan,nan,108,301,429,530,665,36.9823162205371,6.013588073055424,408.9480263607152,0.511185032950894,0.0163435134256001,0.0776095586887751,0.83249462890625,0.83249462890625,0.0729282945394516,0.1169018045746014,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=20
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,global_frobenius_norm_matched,nan,0.83249462890625,0.83249462890625,nan,nan,108,301,429,530,665,36.9823162205371,6.013588073055424,408.9480263607152,0.511185032950894,0.0163445265400375,0.0776143696083519,0.83249462890625,0.83249462890625,0.0729282945394516,0.1169018045746014,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=21
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,unscaled,nan,0.0,0.0,nan,nan,101,281,411,523,688,46.65953694403787,6.013041829297904,408.7247020544724,0.5109058775680905,0.0079003907885253,0.0504234298643598,0.0,0.0,0.0880589932203292,0.1358324827874336,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=22
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,global_frobenius_norm_matched,nan,0.0,0.0,nan,nan,101,281,411,523,688,46.65953694403787,6.013041829297904,408.7247020544724,0.5109058775680905,0.0079003907885253,0.0504234298643598,0.0,0.0,0.0880589932203292,0.1358324827874336,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=23
