dataset,source_model,seed,layer,checkpoint,checkpoint_file,checkpoint_sha256,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,spectrum_reused_by_scale_invariance,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,near_zero_threshold,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,zero_norm_fraction,cosine_definition,variance_definition,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,ann_target_source,mask_replicate,marginal_preservation_check
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0,nan,global_frobenius_norm_matched,204635183002.0,0.0,0.0,False,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,tables/5_seed_review/gate_per_seed.csv,2.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.25,nan,global_frobenius_norm_matched,204635183002.0,0.25,0.25,False,0.0110113869583458,0.0652278333208757,228.6512363970069,1.7721529944223529,0.25,0.25,1e-06,0.0443073883652687,0.0811683712039122,0.2366551432778485,0.0039235928443328,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",127,323,449,547,680,53.466387371727365,6.152522146337471,469.9010526846458,0.5873763158558073,tables/5_seed_review/gate_per_seed.csv,2.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.50,nan,global_frobenius_norm_matched,204635183002.0,0.5,0.5,False,0.008996089015668,0.0652208928875915,228.62690723304823,1.7503030948657703,0.5,0.5,1e-06,0.0307172127068042,0.0559148825443468,0.2862489741189679,0.0039853182472281,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",126,320,446,544,679,70.4383076196662,6.158930789075895,472.9221508833494,0.5911526886041867,tables/5_seed_review/gate_per_seed.csv,2.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.75,nan,global_frobenius_norm_matched,204635183002.0,0.75,0.75,False,0.0063676875140138,0.065213128392049,228.5996893811612,1.6876288619910955,0.75,0.75,1e-06,0.0172644611448049,0.0306772888020682,0.404960348676163,0.0040472272816169,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,313,438,535,673,73.543164794006,6.144818781554909,466.2951401257829,0.5828689251572287,tables/5_seed_review/gate_per_seed.csv,2.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,ann_matched,nan,global_frobenius_norm_matched,204635183002.0,0.8526092936197917,0.8526092936197917,False,0.0048906949654646,0.0652091276159097,228.58566496299068,1.6095702410456374,0.8526092936197917,0.8526092936197917,1e-06,0.0117878355085849,0.0210370717389189,0.5303112675555287,0.0040726121584105,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",113,294,417,517,660,53.19133315950199,6.075949978667928,435.26279654665205,0.5440784956833151,tables/5_seed_review/gate_per_seed.csv,2.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0,nan,global_frobenius_norm_matched,204635183003.0,0.0,0.0,False,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,tables/5_seed_review/gate_per_seed.csv,3.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.25,nan,global_frobenius_norm_matched,204635183003.0,0.25,0.25,False,0.0110049684335003,0.0652278150652172,228.65117240317733,1.7721031300218455,0.25,0.25,1e-06,0.04414639249444,0.0810851747504397,0.2368444905626568,0.0039241317649844,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",127,323,448,546,680,53.43692129253985,6.149268442836378,468.37461861294383,0.5854682732661798,tables/5_seed_review/gate_per_seed.csv,3.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.50,nan,global_frobenius_norm_matched,204635183003.0,0.5,0.5,False,0.0089750229584476,0.0652208461108366,228.6267432606705,1.7510902660280123,0.5,0.5,1e-06,0.0302348360419273,0.0556970631973817,0.2848470081727439,0.0039870151472971,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",126,321,448,546,680,68.68755616420623,6.154121947711624,470.65340267926257,0.5883167533490782,tables/5_seed_review/gate_per_seed.csv,3.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.75,nan,global_frobenius_norm_matched,204635183003.0,0.75,0.75,False,0.0063417785311722,0.0652130986903649,228.59958526415355,1.6883458297154947,0.75,0.75,1e-06,0.0169549100100994,0.031267805772355,0.4051122972913524,0.0040484672987411,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",123,315,441,540,675,78.42857688426841,6.142374576410829,465.1568108674537,0.5814460135843171,tables/5_seed_review/gate_per_seed.csv,3.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,ann_matched,nan,global_frobenius_norm_matched,204635183003.0,0.8526092936197917,0.8526092936197917,False,0.0048787970358326,0.0652091902485419,228.58588451694467,1.610204675970149,0.8526092936197917,0.8526092936197917,1e-06,0.0117321992293,0.021581330389409,0.5298035350818072,0.0040733722850023,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",115,303,426,526,664,69.05699126645091,6.09883092377728,445.33683293174886,0.556671041164686,tables/5_seed_review/gate_per_seed.csv,3.0,nan
