experiment_id,dataset,method,seed,layer,checkpoint,checkpoint_file,checkpoint_sha256,model_sha256,probe_split,N,T,D,best_validation_epoch,best_validation_test_accuracy,final_test_accuracy,q_l2,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,near_zero_threshold,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,zero_norm_fraction,cosine_definition,variance_definition,replaced_cells,production_source_modified
stateless_surrogate_seed_20260830,N-MNIST,stateless-surrogate DFA,20260830,H1,completed_epoch_100,results/paper_v9_signal_processing/06_mechanism_exploration/01_stateless_surrogate_control/checkpoints/seed_20260830/epoch_100.pt,301e86c4ed5467f1f60ce49704e2ef32063a12c26a62b8121a859d82a375180b,4966a72be6f700dee8aacadb41504b093d888894a60148318567d33b67026fed,basis_eval,512,30,800,66,0.9754,0.9757,31.254615783691406,120,304,417,503,621,50.73546926592506,6.070157606156138,432.7488800876458,0.5409361001095573,0.0115516293238668,0.0618553015543718,216.8290813607375,1.6883741146954878,0.0,0.0,1e-06,0.0605792477726936,0.1018038435715783,0.2195474376558194,0.0034638783280173,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",hidden_layers.0.neuron;hidden_layers.1.neuron;hidden_layers.2.neuron;readout.neuron,False
stateless_surrogate_seed_20260830,N-MNIST,stateless-surrogate DFA,20260830,H2,completed_epoch_100,results/paper_v9_signal_processing/06_mechanism_exploration/01_stateless_surrogate_control/checkpoints/seed_20260830/epoch_100.pt,301e86c4ed5467f1f60ce49704e2ef32063a12c26a62b8121a859d82a375180b,4966a72be6f700dee8aacadb41504b093d888894a60148318567d33b67026fed,basis_eval,512,30,800,66,0.9754,0.9757,30.774560928344727,117,308,426,515,629,36.478901204114365,6.0330129973879245,416.9694665385753,0.5212118331732192,0.0126823259754191,0.0653824210712935,229.19313206432392,1.6812525967002996,0.0,0.0,1e-06,0.0698740035295486,0.105145822735921,0.414146556678549,0.0038691611431444,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",hidden_layers.0.neuron;hidden_layers.1.neuron;hidden_layers.2.neuron;readout.neuron,False
stateless_surrogate_seed_20260830,N-MNIST,stateless-surrogate DFA,20260830,H3,completed_epoch_100,results/paper_v9_signal_processing/06_mechanism_exploration/01_stateless_surrogate_control/checkpoints/seed_20260830/epoch_100.pt,301e86c4ed5467f1f60ce49704e2ef32063a12c26a62b8121a859d82a375180b,4966a72be6f700dee8aacadb41504b093d888894a60148318567d33b67026fed,basis_eval,512,30,800,66,0.9754,0.9757,30.68014335632324,108,287,411,511,650,59.18536951476001,6.045586056574505,422.2451445272819,0.5278064306591024,0.0043073697978245,0.0373456421839843,130.912324151587,0.8902963262506237,0.0,0.0,1e-06,0.0816967263817787,0.1219015021443026,0.5913221753275608,0.0012973277038223,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",hidden_layers.0.neuron;hidden_layers.1.neuron;hidden_layers.2.neuron;readout.neuron,False
stateless_surrogate_seed_20260831,N-MNIST,stateless-surrogate DFA,20260831,H1,completed_epoch_100,results/paper_v9_signal_processing/06_mechanism_exploration/01_stateless_surrogate_control/checkpoints/seed_20260831/epoch_100.pt,7527ab1fc6cc6eb7647cdfc37d595e1305ced1aaeb1ee82a140aef51ac01606e,8c2aa855139bf0e7c341eb97c8fcc56f5648f52fe6e4562bfb3f620d1aebcdc7,basis_eval,512,30,800,68,0.977,0.9764,30.42751884460449,123,305,418,504,623,49.57368817093873,6.079024615866796,436.603131197694,0.5457539139971175,0.0115733937789522,0.0619911305840957,217.3052197514184,1.6917908386172815,0.0,0.0,1e-06,0.0606696791946888,0.1024948705053773,0.2203467712531274,0.003479545376498,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",hidden_layers.0.neuron;hidden_layers.1.neuron;hidden_layers.2.neuron;readout.neuron,False
stateless_surrogate_seed_20260831,N-MNIST,stateless-surrogate DFA,20260831,H2,completed_epoch_100,results/paper_v9_signal_processing/06_mechanism_exploration/01_stateless_surrogate_control/checkpoints/seed_20260831/epoch_100.pt,7527ab1fc6cc6eb7647cdfc37d595e1305ced1aaeb1ee82a140aef51ac01606e,8c2aa855139bf0e7c341eb97c8fcc56f5648f52fe6e4562bfb3f620d1aebcdc7,basis_eval,512,30,800,68,0.977,0.9764,30.192607879638672,115,307,429,520,633,33.72499315120171,6.025658188859326,413.9139859606025,0.5173924824507532,0.0130438643800025,0.0662752203666065,232.3227724698728,1.710949652341179,0.0,0.0,1e-06,0.0727474093437194,0.1078639182619336,0.4017968277872035,0.0039629808315725,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",hidden_layers.0.neuron;hidden_layers.1.neuron;hidden_layers.2.neuron;readout.neuron,False
stateless_surrogate_seed_20260831,N-MNIST,stateless-surrogate DFA,20260831,H3,completed_epoch_100,results/paper_v9_signal_processing/06_mechanism_exploration/01_stateless_surrogate_control/checkpoints/seed_20260831/epoch_100.pt,7527ab1fc6cc6eb7647cdfc37d595e1305ced1aaeb1ee82a140aef51ac01606e,8c2aa855139bf0e7c341eb97c8fcc56f5648f52fe6e4562bfb3f620d1aebcdc7,basis_eval,512,30,800,68,0.977,0.9764,30.12583351135254,110,289,415,519,669,58.33618909840087,6.060013299121262,428.38113391405005,0.5354764173925626,0.0046028784401266,0.0386186731859231,135.37483804704536,0.9170659652906892,0.0,0.0,1e-06,0.0896227210760116,0.1303567447419895,0.5933737476178558,0.0013827716225908,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",hidden_layers.0.neuron;hidden_layers.1.neuron;hidden_layers.2.neuron;readout.neuron,False
stateless_surrogate_seed_20260901,N-MNIST,stateless-surrogate DFA,20260901,H1,completed_epoch_100,results/paper_v9_signal_processing/06_mechanism_exploration/01_stateless_surrogate_control/checkpoints/seed_20260901/epoch_100.pt,e930efad0b7a6d1dee3c89157fd32278a5cc792ce2ae950069e96c8e1f968b01,f97a465974c6b83800d9f309a238677cb43aafd9c39ad7d1495ba7dad5b737ba,basis_eval,512,30,800,60,0.9747,0.9766,29.80141258239746,120,309,426,514,633,50.51055874077119,6.079809585523079,436.9459859552079,0.5461824824440098,0.0118452869369664,0.0627198210005094,219.85958889386384,1.7131881723424367,0.0,0.0,1e-06,0.0604649595916271,0.1018419129678846,0.217322477607811,0.0035625450993178,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",hidden_layers.0.neuron;hidden_layers.1.neuron;hidden_layers.2.neuron;readout.neuron,False
stateless_surrogate_seed_20260901,N-MNIST,stateless-surrogate DFA,20260901,H2,completed_epoch_100,results/paper_v9_signal_processing/06_mechanism_exploration/01_stateless_surrogate_control/checkpoints/seed_20260901/epoch_100.pt,e930efad0b7a6d1dee3c89157fd32278a5cc792ce2ae950069e96c8e1f968b01,f97a465974c6b83800d9f309a238677cb43aafd9c39ad7d1495ba7dad5b737ba,basis_eval,512,30,800,60,0.9747,0.9766,29.794174194335938,112,303,426,520,640,37.8081016977978,6.022508771732912,412.6124487819067,0.5157655609773834,0.0132782124993514,0.0668532858165663,234.3491371844784,1.7314757546217108,0.0,0.0,1e-06,0.0715721994638443,0.1053444057844231,0.3948657555649609,0.0040358769286175,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",hidden_layers.0.neuron;hidden_layers.1.neuron;hidden_layers.2.neuron;readout.neuron,False
stateless_surrogate_seed_20260901,N-MNIST,stateless-surrogate DFA,20260901,H3,completed_epoch_100,results/paper_v9_signal_processing/06_mechanism_exploration/01_stateless_surrogate_control/checkpoints/seed_20260901/epoch_100.pt,e930efad0b7a6d1dee3c89157fd32278a5cc792ce2ae950069e96c8e1f968b01,f97a465974c6b83800d9f309a238677cb43aafd9c39ad7d1495ba7dad5b737ba,basis_eval,512,30,800,60,0.9747,0.9766,29.93006896972656,103,284,410,515,662,55.9394287427109,6.0202515037208855,411.6821222930404,0.5146026528663005,0.0045201580038402,0.0383659485294129,134.48893087770887,0.916372448929366,0.0,0.0,1e-06,0.0864390060305595,0.122526870206547,0.5861675212789519,0.0013667979806336,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",hidden_layers.0.neuron;hidden_layers.1.neuron;hidden_layers.2.neuron;readout.neuron,False
