dataset,method,seed,layer,checkpoint,checkpoint_rule,width,probe_split,source_file,checkpoint_sha256,git_commit,provenance_status,temporal_mode,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,input_csv
N-MNIST,SNN-DFA,20260830,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,timestep,101,281,411,523,688,46.65953694403787,6.013041829297904,408.7247020544724,0.0583244211800473,0.5109058775680905,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,20,39,64,135,6.508378361731506,3.4086699143019006,30.22501565054061,0.0081354729521643,0.0377812695631757,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260831,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,timestep,128,330,456,553,683,53.60901308495444,6.147377507756159,467.4897894568219,0.067011266356193,0.5843622368210274,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,23,48,78,155,7.056107646028772,3.495948771738236,32.98156509006677,0.0088201345575359,0.0412269563625834,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,timestep,93,276,405,510,652,30.530134806177617,5.917863792104058,371.6170141565768,0.038162668507722,0.4645212676957209,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,time-collapsed,4,10,24,47,116,5.173785424624099,2.955771306105148,19.21653883894336,0.0064672317807801,0.0240206735486792,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,timestep,82,247,376,492,673,36.642268750738815,5.878887108164806,357.41126022144766,0.0458028359384235,0.4467640752768095,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,time-collapsed,4,13,30,53,119,4.92338532797949,3.122054846808508,22.69296232785903,0.0061542316599743,0.0283662029098237,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,timestep,130,331,457,554,682,49.9820209564572,6.159079688863601,472.9925741340908,0.0624775261955714,0.5912407176676135,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,22,46,74,147,6.238043945154585,3.478471621428022,32.41014922488221,0.0077975549314432,0.0405126865311027,01_spectral_metrics/dfa_trained_20260831.csv
