dataset,method,seed,git_commit,checkpoint_rule,test_accuracy,test_loss,best_validation_epoch,source_file
N-MNIST,MeanGate,20260830,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9123,0.0993451067924499,94,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,MeanGate,20260831,UNAVAILABLE,completed_epoch_100,0.9099,0.0999977727413177,84,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,MeanGate,20260831,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9101,0.1000383288383483,84,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,MeanGate,20260901,UNAVAILABLE,completed_epoch_100,0.9124,0.0999034391164779,99,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,MeanGate,20260901,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9112,0.100084384226799,99,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,MeanGate,20260908,UNAVAILABLE,completed_epoch_100,0.9079,0.10057482879161835,99,results/paper_v9_signal_processing/03_five_seed/checkpoints/mean_gate/seed_20260908/variant_summary.json
N-MNIST,MeanGate,20260908,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9114,0.10067294096946716,99,results/paper_v9_signal_processing/03_five_seed/checkpoints/mean_gate/seed_20260908/variant_summary.json
N-MNIST,MeanGate,20260909,UNAVAILABLE,completed_epoch_100,0.9077,0.10097666223049163,93,results/paper_v9_signal_processing/03_five_seed/checkpoints/mean_gate/seed_20260909/variant_summary.json
N-MNIST,MeanGate,20260909,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9085,0.10098632802963257,93,results/paper_v9_signal_processing/03_five_seed/checkpoints/mean_gate/seed_20260909/variant_summary.json
N-MNIST,ShuffledGate,20260830,UNAVAILABLE,completed_epoch_100,0.9105,0.1015887724399566,81,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,ShuffledGate,20260830,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9111,0.101754885149002,81,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,ShuffledGate,20260831,UNAVAILABLE,completed_epoch_100,0.9081,0.1022702177524566,93,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,ShuffledGate,20260831,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9078,0.102294496011734,93,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,ShuffledGate,20260901,UNAVAILABLE,completed_epoch_100,0.91,0.1014482735395431,61,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,ShuffledGate,20260901,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9083,0.1019440505266189,61,results/paper1_experiment03_20260901_server/stageC_gate/test_results.csv
N-MNIST,ShuffledGate,20260908,UNAVAILABLE,completed_epoch_100,0.9095,0.10178927338123321,77,results/paper_v9_signal_processing/03_five_seed/checkpoints/shuffled_gate/seed_20260908/variant_summary.json
N-MNIST,ShuffledGate,20260908,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9094,0.10205432848930358,77,results/paper_v9_signal_processing/03_five_seed/checkpoints/shuffled_gate/seed_20260908/variant_summary.json
N-MNIST,ShuffledGate,20260909,UNAVAILABLE,completed_epoch_100,0.9081,0.10324155156612397,97,results/paper_v9_signal_processing/03_five_seed/checkpoints/shuffled_gate/seed_20260909/variant_summary.json
N-MNIST,ShuffledGate,20260909,UNAVAILABLE,validation_accuracy_max_tie_lower_loss,0.9077,0.10312743945121765,97,results/paper_v9_signal_processing/03_five_seed/checkpoints/shuffled_gate/seed_20260909/variant_summary.json
