dataset,model,method,seed,epoch,probe_split,batch_index,layer,gate_mode,production_delta_relative_error,applied_gate_norm_ratio
nmnist,snn,dfa_trained,20260830,25,basis_fit,1,hidden_1,actual,5.0908315785136444e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_fit,1,hidden_2,actual,5.147592574417104e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_fit,1,hidden_3,actual,5.0395428274896403e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_fit,2,hidden_1,actual,5.021540161465055e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_fit,2,hidden_2,actual,5.054875629184608e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_fit,2,hidden_3,actual,5.06690795987197e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_fit,3,hidden_1,actual,5.3053337722985816e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_fit,3,hidden_2,actual,5.1484537522128455e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_fit,3,hidden_3,actual,5.1763045405550656e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,0,hidden_1,actual,5.0515165384013017e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,0,hidden_2,actual,5.081151144281648e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,0,hidden_3,actual,5.284483606260437e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,1,hidden_1,actual,5.016784498934612e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,1,hidden_2,actual,5.15033491410577e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,1,hidden_3,actual,5.0889994440694863e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,2,hidden_1,actual,5.0218126546042186e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,2,hidden_2,actual,5.0719215494154923e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,2,hidden_3,actual,5.1559265301648345e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,3,hidden_1,actual,5.1549587709587286e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,3,hidden_2,actual,5.1846569704139256e-08,1.0
nmnist,snn,dfa_trained,20260830,25,basis_eval,3,hidden_3,actual,5.1579533533185895e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,0,hidden_1,actual,5.052940110772398e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,0,hidden_2,actual,5.300888972215034e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,0,hidden_3,actual,4.9305228344564966e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,1,hidden_1,actual,5.065717090246835e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,1,hidden_2,actual,5.2086718937971455e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,1,hidden_3,actual,5.0681585150869075e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,2,hidden_1,actual,5.098625877053564e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,2,hidden_2,actual,5.1971614567492e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,2,hidden_3,actual,4.9729948159438215e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,3,hidden_1,actual,5.184775986322165e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,3,hidden_2,actual,5.1638380682561547e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_fit,3,hidden_3,actual,5.1032003511863884e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,0,hidden_1,actual,5.3057739535233857e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,0,hidden_2,actual,5.1407766932243255e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,0,hidden_3,actual,5.1444171589309924e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,1,hidden_1,actual,5.329219376903893e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,1,hidden_2,actual,5.3410971645462275e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,1,hidden_3,actual,5.241521350285439e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,2,hidden_1,actual,5.1407393897306974e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,2,hidden_2,actual,5.2652360693628e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,2,hidden_3,actual,4.904735106947555e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,3,hidden_1,actual,5.153922089107255e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,3,hidden_2,actual,5.039599315637133e-08,1.0
nmnist,snn,dfa_trained,20260830,50,basis_eval,3,hidden_3,actual,5.299786565160503e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,0,hidden_1,actual,5.167020944440993e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,0,hidden_2,actual,4.991744972926426e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,0,hidden_3,actual,5.1610836493409806e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,1,hidden_1,actual,5.075093412187925e-08,1.0
